,Name,Distance,Mass,Radius
114,CFBDS J150411+102717,71.0,44.0,0.94
115,2MASSW J1506544+132106 [de],46.0,69.0,1.02
116,2MASS 1507−1627,23.9,60.0,0.99
117,TVLM 868-110639,53.0,79.0,1.08
118,2MASSW J1515008+484742 [de],34.0,57.0,0.99
119,2MASSI J1526140+204341 [de],67.0,54.0,0.98
120,DENIS-P J153941.96-052042.4 [de],51.0,63.0,1.0
121,2MASS J15462718-3325111 [de],37.0,44.0,0.94
122,2MASSW J1552591+294849 [de],68.0,30.0,1.43
123,2MASSW J1555157-095605 [de],44.0,71.0,1.03
124,2MASS J16150413+1340079 [de],48.0,42.0,0.94
125,SDSSp J162414.37+002915.6 [de],36.0,43.0,0.94
126,2MASS J16262034+3925190 [de],110.0,71.0,1.03
127,2MASSW J1632291+190441 [de],50.0,49.0,0.97
128,WISEPA J164715.59+563208.2,28.0,41.0,0.94
129,LSPM J1658+7027 [de],60.0,73.0,1.04
130,2MASSI J1726000+153819,114.0,24.0,1.4
131,SDSSp J175032.96+175903.9,90.0,47.0,0.97
132,2MASS J18283572-4849046,39.0,45.0,0.95
133,LSR J1835+3259,18.5,77.0,1.07
134,2MASSW J1841086+311727,138.0,67.0,1.01
135,2MASS J18432213+4040209,46.0,96.0,1.22
136,2MASS J20004841-7523070,105.0,25.0,1.88
137,SDSS J204749.61-071818.3,65.0,46.0,0.96
138,2MASSI J2057540-025230,47.0,70.0,1.02
139,2MASSI J2104149-103736,62.0,69.0,1.02
140,PSO J318.5−22,80.0,6.5,1.53
141,HB 2124-4228,113.0,94.0,1.21
142,2MASS J21392676+0220226,32.1,46.0,0.96
143,2MASS J21481628+4003593,26.3,55.0,0.99
144,2MASSW J2206450-421721,93.0,22.0,1.33
145,2MASSW J2208136+292121,154.0,27.0,1.41
146,2MASSW J2224438-015852,38.0,61.0,0.99
147,2MASS J22282889-4310262,35.0,42.0,0.94
148,2MASS J22373255+3922398,64.0,73.0,1.04
149,2MASSW J2244316+204343,56.0,12.0,1.29
150,2MASS J23224684-3133231,56.0,24.0,1.39
151,2MASS J23225299-6151275,148.0,17.0,1.59
152,2MASS J23515044-2537367,67.0,88.0,1.16
153,2MASSI J2356547-155310,74.0,80.0,1.09
154,WISE 0410+1502,20.0,6.0,1.17
155,WISE 0458+6434A,35.9,15.0,4.2
156,WISE 0458+6434B,35.9,10.0,3.8
157,WISE 1405+5534,25.3,30.0,0.86
